short_id,eid,doi,weblink,scholar_link,title,subtype,journal,author_names,abstract,citedby_count,year,labeled_as,affilname,openaccess,publisher,downloaded
820,2-s2.0-85165629225,10.1108/JPCC-02-2023-0012,https://doi.org/10.1108/JPCC-02-2023-0012,https://scholar.google.com/scholar?q=10.1108/JPCC-02-2023-0012,Open innovation networks: a driver for knowledge mobilisation in schools?,ar,Journal of Professional Capital and Community,"Pietsch, Marcus;Brown, Chris;Aydin, Burak;Cramer, Colin","Purpose: In organisational and innovation research, the term “open innovation” refers to the inflow and outflow of knowledge to and from organisations: with open innovation theory suggesting active exchanges of knowledge with external actors leads to the development of exploitable new ideas. In the field of education, however, the exchange of knowledge with external parties represents a paradigm shift. In response, this article presents findings from research design to explore the nature and composition of school innovation networks, and the effects of such these networks on knowledge mobilisation. Design/methodology/approach: The study draws on data from a representative random sample of 411 German school leaders. Respondents were asked to detail their engagement in open and closed innovation activity and their school's external collaborations during the last 12 months. A latent class distal outcome model was developed to examine whether different types of collaboration associate with different knowledge mobilisation processes. Findings: The study findings suggest that schools in Germany mainly use internal knowledge for innovation, with external knowledge exchange taking place on a very limited basis. Knowledge mobilisation varies depending on the innovation network. The authors use the findings to indicate new insights for how schools can further innovate learning and teaching in future. Originality/value: Although there is increasing discussion on Professional Learning Networks in schools, the discourse on knowledge mobilisation within educational networks is limited, making concept of open innovation so far completely absent from discourses on school improvement. This paper initiates the population of this new research space.",13,2023,universitaet,Eberhard Karls Universität Tübingen;Ege Üniversitesi;Leuphana Universität Lüneburg;Faculty of Social Sciences & Health,1,Emerald Publishing,yes
821,2-s2.0-85165343047,10.1016/j.msea.2023.145422,https://doi.org/10.1016/j.msea.2023.145422,https://scholar.google.com/scholar?q=10.1016/j.msea.2023.145422,Compressive creep behavior and microstructural evolution of sand-cast and peak-aged Mg–12Gd–0.4Zr alloy at 250 °C,ar,Materials Science and Engineering A,"Shi, Hui;Huang, Yuanding;Yang, Lixiang;Liu, Chunquan;Dieringa, Hajo;Lu, Chong;Xiao, Lv;Willumeit-Römer, Regine;Hort, Norbert","Magnesium (Mg) alloys with high concentrations of Gd additions are known to exhibit high strength and good creep resistance at elevated temperatures. However, the main mechanisms including microstructural evolution and dislocation configurations for clarifying the low creep rates of Mg–Gd–Zr alloys are still controversial. The present work investigates the compressive creep behavior of both the sand-cast and peak-aged Mg–12Gd–0.4Zr (wt.%) alloys at a fixed temperature of 250 °C under the applied stress range of 60–100 and 80–120 MPa, respectively. It is revealed that β' and β'<inf>F</inf> precipitates distribute alternately forming precipitate chains in Mg–Gd–Zr alloys. Furthermore, β'+β'<inf>F</inf> precipitate chains led to the honeycomb-like structure in the sand-cast alloy during the creep process, improving its creep resistance to some extent. Nevertheless, weakly strengthening β<inf>1</inf> precipitates occurred and detrimental β phases coarsened, which weakened the creep performance of the sand-cast alloy. However, the slight improvement of creep resistance in the peak-aged Mg–12Gd–0.4Zr alloy can be mainly attributed to the formation of precipitate-free zones (PFZs) and also the premature coarsening of β'+β'<inf>F</inf> precipitate chains. During creep, the cross slip of basal and prismatic <a> dislocations become the dominant creep mechanism for the sand-cast alloys. By contrast, the cross-slip of basal <a> dislocations and pyramidal <c + a> dislocations is the dominant creep mechanism for the peak-aged alloys, which was arrested by precipitates then strengthening the creep resistance of peak-aged alloys.",13,2023,universitaet,Shanghai Jiao Tong University;Chongqing University;Helmholtz-Zentrum Hereon GmbH;Leuphana Universität Lüneburg;Shanghai Spaceflight Precision Machinery Institute,0,Elsevier Ltd,no
822,2-s2.0-85154041455,10.1016/j.jenvman.2023.117916,https://doi.org/10.1016/j.jenvman.2023.117916,https://scholar.google.com/scholar?q=10.1016/j.jenvman.2023.117916,Determinants and financial consequences of environmental performance and reporting: A literature review of European archival research,re,Journal of Environmental Management,"Velte, Patrick","Motivated by the EU Green Deal project as a unique setting, we present the first literature review of firm- and country-related determinants of environmental performance (EP) and environmental reporting (ER) and their financial consequences for the European capital market. Based on legitimacy and stakeholder theories, we conducted a structured literature review and examined 124 peer-reviewed empirical-quantitative (archival) studies. There were clear indications that board gender diversity, sustainability board committees, firm size, and environmentally sensitive industries are the main drivers of increased environmental outputs. Moreover, although positive financial consequences of increased EP and ER were identified, this was true for accounting-based financial performance but not for market-based measures.",37,2023,universitaet,Leuphana Universität Lüneburg,0,Academic Press,no
823,2-s2.0-85165454766,10.1007/s11356-023-28528-3,https://doi.org/10.1007/s11356-023-28528-3,https://scholar.google.com/scholar?q=10.1007/s11356-023-28528-3,Are Si–C bonds formed in the environment and/or in technical microbiological systems?,ar,Environmental Science and Pollution Research,"Rücker, Christoph;Winkelmann, Magnus;Kümmerer, Klaus","Organosiloxanes are industrially produced worldwide in millions of tons per annum and are widely used by industry, professionals, and consumers. Some of these compounds are PBT (persistent, biaccumulative and toxic) or vPvB (very persistent and very bioaccumulative). If organosiloxanes react at all in the environment, Si–O bonds are hydrolyzed or Si–C bonds are oxidatively cleaved, to result finally in silica and carbon dioxide. In strong contrast and very unexpectedly, recently formation of new Si–CH<inf>3</inf> bonds from siloxanes and methane by the action of microorganisms under mild ambient conditions was proposed (in landfills or digesters) and even reported (in a biotrickling filter, 30 °C). This is very surprising in view of the harsh conditions required in industrial Si–CH<inf>3</inf> synthesis. Here, we scrutinized the pertinent papers, with the result that evidence put forward for Si–C bond formation from siloxanes and methane in technical microbiological systems is invalid, suggesting such reactions will not occur in the environment where they are even less favored by conditions. The claim of such reactions followed from erroneous calculations and misinterpretation of experimental results. We propose an alternative explanation of the experimental observations, i.e., the putative observation of such reactions was presumably due to confusion of two compounds, hexamethyldisiloxane and dimethylsilanediol, that elute at similar retention times from standard GC columns.",6,2023,universitaet,Leuphana Universität Lüneburg,1,Springer Science and Business Media Deutschland GmbH,yes
824,2-s2.0-85165175742,10.1007/s40725-023-00194-1,https://doi.org/10.1007/s40725-023-00194-1,https://scholar.google.com/scholar?q=10.1007/s40725-023-00194-1,Stakeholders’ Perspectives of Species Diversity in Tree Plantations: a Global Review,re,Current Forestry Reports,"Cagnoni, Leticia Bulascoschi;Weidlich, Emanuela W.A.;Guillemot, Joannès;Morselo, Carla;Weih, Martin;Adler, Anneli;Brancalion, Pedro H.S.","Purpose of Review: Increasing the diversity of commercial tree plantations is a promising approach to adapt forests to climate change, but it may complicate management. Here, we evaluate stakeholders’ perspectives about tree-species diversity in plantations and explore policy alternatives to make mixed plantations a viable strategy for climate change mitigation and adaptation. Recent Findings: Current evidence shows that improving the diversity of tree species in plantations can be a viable, scalable, and economically accessible strategy for sustainable wood production and reconciling economic and environmental benefits. Tree diversity is particularly important in the context of global environmental changes and associated increases in abiotic and biotic stresses, such as severe droughts and pest outbreaks. Even though there is substantial scientific evidence supporting mixed-tree plantations, most forest plantations globally are still conventional monocultures. Summary: Our findings (i) describe the geographical distribution of publications investigating human perspectives about forest plantation diversity; (ii) build understanding of how political engagement and governance systems can support forest initiatives on forest conservation, management, and restoration; and (iii) demonstrate how these perspectives can create possibilities and opportunities for sustainable development in forestry. We conclude that new strategies will only be widely applied if there is political and institutional interest, particularly in strengthening land-governance systems.",8,2023,universitaet,Universidade de São Paulo;Université de Montpellier;Sveriges lantbruksuniversitet;CIRAD;Leuphana Universität Lüneburg,1,Springer Science and Business Media Deutschland GmbH,yes
825,2-s2.0-85164308103,10.1016/j.jrp.2023.104396,https://doi.org/10.1016/j.jrp.2023.104396,https://scholar.google.com/scholar?q=10.1016/j.jrp.2023.104396,Is peoples’ belief in a just world associated with (dis)honesty in romantic relationships?,ar,Journal of Research in Personality,"Reinhardt, Nina;Reinhard, Marc André;Schindler, Simon","We hypothesized that people's personal belief in a just world (PBJW) is associated with decreased relationship-based dishonesty. We tested our hypothesis in 11 studies using community samples and different methodological approaches. One internal meta-analysis across all 11 studies (total N = 4970) yielded a negative but non-significant overall effect (Fisher's z = −0.07), thus providing no support for our hypothesis. A more detailed look revealed that studies measuring estimated levels of partner's dishonesty yielded significantly stronger negative associations to people's PBJW compared to studies that measured dishonesty emanated by oneself. We discuss what the results mean for research on belief in a just world and derive new approaches for future research in this field.",4,2023,universitaet,Universität Kassel;Leuphana Universität Lüneburg,0,Academic Press Inc.,no
826,2-s2.0-85161999532,10.1016/j.esg.2023.100182,https://doi.org/10.1016/j.esg.2023.100182,https://scholar.google.com/scholar?q=10.1016/j.esg.2023.100182,MSPs for the SDGs – Assessing the collaborative governance architecture of multi-stakeholder partnerships for implementing the Sustainable Development Goals,ar,Earth System Governance,"Glass, Lisa Maria;Newig, Jens;Ruf, Simon","Multi-stakeholder partnerships (MSPs) involving a diverse set of actors are assumed to reduce implementation gaps of the 2030 Agenda and the Sustainable Development Goals (SDGs). While existing research suggests that MSPs can complement state-led efforts in environmental and sustainability governance, a deeper understanding of the composition, thematic focus, and specific governance functions of MSPs for the SDGs is still wanting. In this article, we present the results of a survey of 192 MSPs registered on the United Nations Partnership Platform, analyzing their set-up and organization, partner composition, agency of partners, governance functions, SDG coverage, and effectiveness. We further complement existing research by investigating whether MSPs address SDG nexuses and relate our findings to previously identified interlinkages between the goals. Comparing our results to earlier studies, we find that MSPs have become more inclusive, involving more non-state actors overall, and as lead partners. Our results further indicate a complementary role of MSPs in SDG implementation by focusing on often underrepresented and cross-cutting goals such as climate action (SDG 13), quality education (SDG 4) and gender equality (SDG 5). However, there appears to be untapped potential for MSPs to capitalize on shared resources and capabilities to address combinations of SDGs that are likely to produce negative spillovers among each other. Moreover, we find partnerships between actors from multiple societal sectors to be potentially more effective than those involving only one societal sector.",30,2023,universitaet,Leuphana Universität Lüneburg,1,Elsevier B.V.,yes
827,2-s2.0-85161704811,10.1002/pan3.10493,https://doi.org/10.1002/pan3.10493,https://scholar.google.com/scholar?q=10.1002/pan3.10493,Co-production of nature's contributions to people: What evidence is out there?,re,People and Nature,"Kachler, Jana;Isaac, Roman;Martín-López, Berta;Bonn, Aletta;Felipe-Lucia, María R.","Nature's contributions to people (NCP) rarely originate from nature alone. Often, only by joining natural capital with forms of anthropogenic capital, NCP emerge benefitting people. Understanding how NCP are co-produced by natural and anthropogenic capitals is needed to inform decision-making on sustainable land-use practices. Through a systematic review of the literature, we compile existing empirical evidence on NCP co-production and how this evidence was arrived at. We identified 237 observations from 25 publications on anthropogenic capital indicators co-producing NCP. The reviewed studies were conducted mainly in cropland and forest ecosystems and at the landscape level. Our results show that most evidence for co-production exists for material NCP, with physical capital and/or human capital as main input. Interestingly, non-material NCP relied mostly on human or social capital only, while material and regulating NCP involved multiple types of anthropogenic capital. Our findings provide guidance for future research on how to explicitly incorporate NCP co-production to analytically assess the relationships between anthropogenic capitals and NCP provision. Read the free Plain Language Summary for this article on the Journal blog.",30,2023,universitaet,Friedrich-Schiller-Universität Jena;Leuphana Universität Lüneburg;German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig;CSIC - Instituto Pirenaico de Ecología (IPE),1,John Wiley and Sons Inc,yes
828,2-s2.0-85161505474,10.1111/csp2.12974,https://doi.org/10.1111/csp2.12974,https://scholar.google.com/scholar?q=10.1111/csp2.12974,"Advancing protected area effectiveness assessments by disentangling social-ecological interactions: A case study from the Luangwa Valley, Zambia",ar,Conservation Science and Practice,"Frietsch, Marina;Zafra-Calvo, Noelia;Ghoddousi, Arash;Loos, Jacqueline","Protected and conserved areas (PCAs) target at biodiversity conservation and human well-being, but often reflect low levels of effectiveness. Understanding PCAs social-ecological systems in which people and nature interact in so-called social-ecological interactions is key to understanding the roots of (in)effectiveness, and to leverage change toward resilient and sustainable systems. Despite this potential, social-ecological interactions in PCAs are commonly neglected in effectiveness evaluations. To address this gap, we elaborated a thorough understanding of the social-ecological interactions in PCAs through the following steps: In a first step, we extracted from scientific literature which social-ecological interactions influence the effectiveness of PCAs in general and derived influencing factors which shape those interactions. Based on these insights, we developed an analytical framework, which, in a second step, we applied to a case study in North Luangwa, Zambia. We elucidated three dimensions of social-ecological interactions occurring in the study area: care (e.g., conservation programs), conflict (e.g., disease transmission), and use (e.g., hunting). We visualized relationships between these interactions and associated key variables in a causal loop diagram. Finally, we drew on the case study in Zambia's Luangwa Valley to propose system-specific metrics for key variables central to the social-ecological structure of the study area to make effectiveness measurable. Our approach allows for linking site-specific social-ecological interactions to PCA effectiveness. More generally, our findings call for the consideration of the relationships between people and nature when assessing conservation effectiveness.",6,2023,universitaet,Humboldt-Universität zu Berlin;Leuphana Universität Lüneburg;BC3 Basque Centre for Climate Change,1,John Wiley and Sons Inc,yes
829,2-s2.0-85160344867,10.1016/j.matchar.2023.112999,https://doi.org/10.1016/j.matchar.2023.112999,https://scholar.google.com/scholar?q=10.1016/j.matchar.2023.112999,Rapid grain refinement and compositional homogenization in a cast binary Cu50Ni alloy achieved by friction stir processing,ar,Materials Characterization,"Escobar, Julian;Gwalani, Bharat;Silverstein, Joshua;Ajantiwalay, Tanvi;Roach, Christian;Bergmann, Luciano;dos Santos, Jorge F.;Maawad, Emad;Klusemann, Benjamin;Devaraj, Arun","Friction stir processing (FSP) has been increasingly adopted for joining and processing materials in automotive, aerospace, and industrial construction. During FSP, a dynamic competition between high-speed shear deformation and deformation-induced heating brings about a complex competition between multiple dynamic microstructural evolution mechanisms making it difficult to predict the microstructural evolution pathway. Hence, improved understanding of microstructural evolution mechanisms during FSP can be beneficial for continued growth in the adoption of FSP for demanding applications of future. Towards this goal, this study uses a model binary Cu – 50 at.% Ni alloy to clarify the effect of single and double pass FSP on the microstructural evolution of a coarse grained and compositionally heterogeneous cast microstructure. High energy synchrotron X-ray diffraction, electron backscatter diffraction, and nanoindentation are used to clarify the microstructural evolution due to FSP. The process of compositional homogenization of as-cast segregations is studied by energy dispersive spectroscopy and atom probe tomography. Our results show that a single fast FSP pass at 30 mm.s<sup>−1</sup> produces a 100 μm deep layer of submicrometric and hall-petch hardened CuNi grains. The initial cast compositional heterogeneities in a micrometric scale is rapidly transformed to nano-sized domains, mainly confined at grain boundaries. Double pass FSP increases the penetration depth of the processed layer and leads to a 2.9 times grain growth relative to single pass FSP. Grain fragmentation, discontinuous dynamic recrystallization, grain growth, and twinning mechanisms are discussed. These results highlight the value of FSP for ultrafast grain refinement and compositional homogenization of cast alloys.",3,2023,universitaet,Pacific Northwest National Laboratory;Helmholtz-Zentrum Hereon GmbH;Leuphana Universität Lüneburg,2,Elsevier Inc.,no
830,2-s2.0-85152886597,10.1016/j.jmatprotec.2023.117984,https://doi.org/10.1016/j.jmatprotec.2023.117984,https://scholar.google.com/scholar?q=10.1016/j.jmatprotec.2023.117984,Semi-stationary shoulder bobbin-tool: A new approach in tailoring macrostructure and mechanical properties of bobbin-tool friction stir welds in magnesium alloy,ar,Journal of Materials Processing Technology,"Li, Gaohui;Chen, Ting;Fu, Banglong;Shen, Junjun;Bergmann, Luciano;Zhou, Li;Chen, Ke;dos Santos, Jorge F.;Klusemann, Benjamin","Bobbin tool friction stir welding has high process flexibility and is particularly suitable for closed structures such as hollow extrusions or pipes. More recently, a bobbin tool concept having one rotating and one stationary shoulder has been proposed. The present investigation developed this novel semi-stationary shoulder concept to bobbin tool friction stir welding of magnesium alloy for the first time. The concept was proved to be feasible by decoupling the upper shoulder from the rotation of the bobbin tool. Holding the upper shoulder stationary during welding led to reduced handling forces as well as torque, enabling higher welding speeds up to 1500 mm/min. This speed is 50% larger than the value achieved by the standard tool concept, which makes the semi-stationary shoulder variant more attractive for industrial applications. Furthermore, holding the upper shoulder stationary modified the original symmetrical refilling of the plasticized metal into an asymmetrical pattern. In case of improper welding parameters being employed, the asymmetrical refilling led to transportation of created volumetric defects close to the upper surface from the mid-thickness and thus facilitated visual inspection of the weld. In the proper sets of welding parameters, the joints produced by the semi-stationary shoulder variant experienced lower level of strain localization during tensile testing than those produced by the standard variant. The weakened strain concentration led to an enhancement of the joint elongation from 82% to 95% of that of the base metal.",16,2023,universitaet,Shanghai Jiao Tong University;Harbin Institute of Technology;Helmholtz-Zentrum Hereon GmbH;Leuphana Universität Lüneburg,0,Elsevier Ltd,no
831,2-s2.0-85151949400,10.1007/s00421-023-05184-6,https://doi.org/10.1007/s00421-023-05184-6,https://scholar.google.com/scholar?q=10.1007/s00421-023-05184-6,"Comparison of the effects of long-lasting static stretching and hypertrophy training on maximal strength, muscle thickness and flexibility in the plantar flexors",ar,European Journal of Applied Physiology,"Warneke, Konstantin;Wirth, Klaus;Keiner, Michael;Lohmann, Lars H.;Hillebrecht, Martin;Brinkmann, Anna;Wohlann, Tim;Schiemann, Stephan","Maximal strength measured via maximal voluntary contraction is known as a key factor in competitive sports performance as well as injury risk reduction and rehabilitation. Maximal strength and hypertrophy are commonly trained by performing resistance training programs. However, literature shows that long-term, long-lasting static stretching interventions can also produce significant improvements in maximal voluntary contraction. The aim of this study is to compare increases in maximal voluntary contraction, muscle thickness and flexibility after 6 weeks of stretch training and conventional hypertrophy training. Sixty-nine (69) active participants (f = 30, m = 39; age 27.4 ± 4.4 years, height 175.8 ± 2.1 cm, and weight 79.5 ± 5.9 kg) were divided into three groups: IG1 stretched the plantar flexors continuously for one hour per day, IG2 performed hypertrophy training for the plantar flexors (5 × 10–12 reps, three days per week), while CG did not undergo any intervention. Maximal voluntary contraction, muscle thickness, pennation angle and flexibility were the dependent variables. The results of a series of two-way ANOVAs show significant interaction effects (p < 0.05) for maximal voluntary contraction (ƞ<sup>2</sup> = 0.143–0.32, p < 0.006), muscle thickness (ƞ<sup>2</sup> = 0.11–0.14, p < 0.021), pennation angle (ƞ<sup>2</sup> = 0.002–0.08, p = 0.077–0.625) and flexibility (ƞ<sup>2</sup> = 0.089–0.21, p < 0.046) for both the stretch and hypertrophy training group without significant differences (p = 0.37–0.99, d = 0.03–0.4) between both intervention groups. Thus, it can be hypothesized that mechanical tension plays a crucial role in improving maximal voluntary contraction and muscle thickness irrespective whether long-lasting stretching or hypertrophy training is used. Results show that for the calf muscle, the use of long-lasting stretching interventions can be deemed an alternative to conventional resistance training if the aim is to increase maximal voluntary contraction, muscle thickness and flexibility. However, the practical application seems to be strongly limited as a weekly stretching duration of up to 7 h a week is opposed by 3 × 15 min of common resistance training.",26,2023,universitaet,Universität Oldenburg;Leuphana Universität Lüneburg;Fachhochschule Wiener Neustadt;Deutsche Hochschule für Gesundheit & Sport,1,Springer Science and Business Media Deutschland GmbH,yes
832,2-s2.0-85150984996,10.1007/s00421-023-05185-5,https://doi.org/10.1007/s00421-023-05185-5,https://scholar.google.com/scholar?q=10.1007/s00421-023-05185-5,Remote effects of a 7-week combined stretching and foam rolling training intervention of the plantar foot sole on the function and structure of the triceps surae,ar,European Journal of Applied Physiology,"Konrad, Andreas;Reiner, Marina Maren;Gabriel, Anna;Warneke, Konstantin;Nakamura, Masatoshi;Tilp, Markus","It is known that a single bout of foam rolling (FR) or stretching can induce changes in range of motion (ROM) and performance in non-directly adjoining areas of the dorsal chain (i.e., remote effects). However, to date, it is not known if such effects exist following long-term interventions. Thus, the purpose of this study was to investigate the remote effects of a 7-week combined stretching and FR training intervention of the plantar foot sole. Thirty-eight recreational athletes were randomly assigned to either an intervention (n = 20) or control (n = 18) group. The intervention group performed stretching and FR exercises of the plantar foot sole for 7 weeks. Before and after the intervention, the dorsiflexion ankle ROM, passive resistive torque at maximum angle (PRT<inf>max</inf>) and at a fixed angle, as well as maximum voluntary isometric contraction (MVIC) torque, were measured with a dynamometer. Gastrocnemius medialis and lateralis stiffness was assessed with shear wave elastography. The results showed no interaction effect for any of the parameters. There was a time effect indicating an increase in MVIC and PRT<inf>max</inf>, which was more pronounced in the intervention group (+ 7.4 (95% CI 2.5–12.4), + 4.5 (95% CI − 0.2–9.2)) than the control group (+ 3.6 (95% CI − 1.4–8.6), + 4.0 (95% CI − 2.2 to 10.2)). The results indicate no or minor remote effects of combined stretching and FR of the foot sole in the ankle joint. Potential non-significant changes in ROM were accompanied with an increase in stretch tolerance, but not with changes in muscle structure.",9,2023,universitaet,Technische Universität München;Universität Graz;Leuphana Universität Lüneburg;Nishikyushu University,1,Springer Science and Business Media Deutschland GmbH,yes
833,2-s2.0-85145950484,10.1007/s12649-023-02036-4,https://doi.org/10.1007/s12649-023-02036-4,https://scholar.google.com/scholar?q=10.1007/s12649-023-02036-4,Reduction of the Microbial Load of Digestate by the Cultivation of Galdieria sulphuraria Under Acidic Conditions,ar,Waste and Biomass Valorization,"Pleissner, Daniel;Händel, Nicole","Purpose: Organic waste streams with a high microbial load have been used as nutrient sources in the cultivation of heterotrophic microalgae. However, it remains unclear whether an alga-based organic waste utilization can also result in a reduction of the microbial load, and thus in a combined waste utilization and hygenization process. Methods: The heterotrophic cultivation of the microalga Galdieria sulphuraria at a pH of 2 and 45 °C as hygenization method for digestate, which serves as nitrogen source in algae cultivation, was investigated. Attention has been paid to Salmonella sp. and spores, coming from the organic waste stream digestate and its reduction during hydrolysis and cultivation of G. sulphuraria in the resulting hydrolysate. Results: Digestate contained 0.5 × 10<sup>6</sup> counts per g material, predominantly formed by aerobic, mesophilic organisms. Salmonella sp., yeast and molds, enterobacteriaceae as well as enterococci were diminished within 24 h of hydrolysis or cultivation. During hydrolysis of digestate and cultivation of G. sulphuraria the counts of aerobic, mesophilic organisms could be subsequently reduced by a log reduction factor of 3. The remaining microorganisms were almost exclusively spore forming ones which were reduced by a log reduction factor of 2 during cultivation under acidic conditions. Conclusion: It is suggested here to include the cultivation of G. sulphuraria in future waste management as hygenization process. Graphical Abstract: [Figure not available: see fulltext.].",9,2023,universitaet,Leuphana Universität Lüneburg;Institute for Food and Environmental Research e. V.,1,Springer Science and Business Media B.V.,yes
834,2-s2.0-85134821298,10.1007/s10869-022-09835-x,https://doi.org/10.1007/s10869-022-09835-x,https://scholar.google.com/scholar?q=10.1007/s10869-022-09835-x,How to Induce an Error Management Climate: Experimental Evidence from Newly Formed Teams,ar,Journal of Business and Psychology,"Horvath, Dorothee;Keith, Nina;Klamar, Alexander;Frese, Michael","An organizational climate of error management is associated with favorable organizational outcomes, including firm success, innovation, and safety. But how can an error management climate be induced? The present research used newly formed teams in a controlled setting as a model and tested the effect of two brief interventions on team climate and performance. In three-person teams, 180 participants worked on two team tasks that required communication and coordination, under 1 of 3 experimental conditions. Two of these were designed to induce an error management climate either indirectly, via the communication of social norms, or more directly, via explicit encouragement of experimentation and learning from errors. The third condition served as an error avoidant comparison group. In line with predictions, the climate induction increased processes of error management climate as perceived by teams, which in turn positively affected objectively measured team performance (mediation effect). These results strongly suggest that team error management climate can indeed affect performance and is not merely a correlate of unknown third variables that were unmeasured in previous correlational research. From a practical perspective, this research provides guidance on how principles of social influence may be leveraged to induce an error management climate.",9,2023,universitaet,Technische Universität Darmstadt;Leuphana Universität Lüneburg;Helmut Schmidt University - University of the Federal Armed Forces Hamburg;NUS Business School;Hochschule des Bundes für öffentliche Verwaltung;Asia School of Business (in collaboration with MIT Sloan Management),1,Springer,yes
835,2-s2.0-85167352120,10.1017/beq.2023.7,https://doi.org/10.1017/beq.2023.7,https://scholar.google.com/scholar?q=10.1017/beq.2023.7,Guest Editors' Introduction: New Challenges to the Enlightenment: How Twenty-First-Century Sociotechnological Systems Facilitate Organized Immaturity and How to Counteract It,re,Business Ethics Quarterly,"Scherer, Andreas Georg;Neesham, Cristina;Schoeneborn, Dennis;Scholz, Markus","Organized immaturity, the reduction of individual capacities for public use of reason constrained by sociotechnological systems, constitutes a significant pushback against the project of Enlightenment. Forms of immaturity have long been a concern for philosophers and social theorists, such as Kant, Arendt, Fromm, Marcuse, and Foucault. Recently, Zuboff's concept of surveillance capitalism describes how advancements in digital technologies lead to new, increasingly sophisticated forms of organized immaturity in democratic societies. We discuss how sociotechnological systems initially designed to meet human needs can inhibit the multidimensional development of individuals as mature citizens. To counteract these trends, we suggest two mechanisms: disorganizing immaturity as a way to safeguard individuals' and collectives' negative freedoms (freedoms from), and organizing maturity as a way to strengthen positive freedoms (freedoms to). Finally, we provide an outlook on the five further articles that constitute the Business Ethics Quarterly Special Issue Sociotechnological Conditions of Organized Immaturity in the Twenty-First Century.",15,2023,universitaet,Universität Zürich;Newcastle University;Technische Universität Dresden;Copenhagen Business School;Leuphana Universität Lüneburg,1,Cambridge University Press,yes
836,2-s2.0-85164847141,10.1126/science.adi8186,https://doi.org/10.1126/science.adi8186,https://scholar.google.com/scholar?q=10.1126/science.adi8186,Genetic editing of wood for sustainability,ar,Science,"Zeidler, Vânia G.Zuin","Lignin, a polymer formed by phenylpropanoid units, is responsible for the rigidity and resistance of the lignocellulosic cells in wood (1). In conventional pulp production, lignin must be cleaved and dissolved under alkaline conditions or first sulfonated to make it soluble so that fiber separation can take place. Delignification processes are reagent and energy intensive, leading to costly chemical recovery (2). Pulp treatment methods to remove wood extractives such as lignin have been developed, but they are not yet economically viable at an industrial scale (3). On page 216 of this issue, Sulis et al. (4) present a multiplex CRISPR genome editing strategy to modify lignin biosynthesis genes and reduce the lignin content of Populus trichocarpa, a species of poplar. This approach could provide a solution to a key operational constraint in the paper and pulp industry.",7,2023,universitaet,Leuphana Universität Lüneburg,0,American Association for the Advancement of Science,no
837,2-s2.0-85165264577,10.5751/ES-14185-280301,https://doi.org/10.5751/ES-14185-280301,https://scholar.google.com/scholar?q=10.5751/ES-14185-280301,Drivers of ecosystem service specialization in a smallholder agricultural landscape of the Global South: a case study in Ethiopia,ar,Ecology and Society,"Brück, Maria;Fischer, Joern;Law, Elizabeth A.;Schultner, Jannik;Abson, David J.","The global shift toward agricultural specialization in the 20th century led to unprecedented ecological and socioeconomic changes, both positive and negative, in rural landscapes. Economic theory describes comparative advantage and market participation as two important drivers of such changes. Landscapes in the Global South are still often characterized by subsistence agriculture and direct dependence on natural ecosystem processes. Agricultural specialization is part of the structural transformation process from subsistence to market-oriented agriculture. However, comparative advantage and market participation as major drivers for agricultural specialization remain understudied. In this paper, we assess the potential drivers of ecosystem service specialization in an Ethiopian smallholder landscape at the kebele level, the smallest administrative unit in Ethiopia. We measured specialization via the concentration of production for a range of locally important provisioning ecosystem services (beef, cattle, coffee, eucalyptus, honey, maize, sorghum, and teff). We measured comparative advantage based on productivity data, and assessed spatial flows of ecosystem services to local, regional, and global markets (i.e., telecoupling). To unpack the relationships between specialization, comparative advantage, and telecoupling, we used hierarchical clustering, principal component analysis, correlation analysis, and linear regression. More telecoupled kebeles (i.e., kebeles that produced more of ecosystem services that flow to broader spatial scales) were more specialized in their ecosystem service production, and the positive relationship between comparative advantage and specialization grew stronger with altitude. Wealthier kebeles and kebeles with higher population density were less specialized. Biophysical drivers, such as altitude and amount of forest cover, influenced the ecosystem services produced and the relationship between comparative advantage and specialization. Policy makers should therefore try to balance potential positive and negative consequences of specialization, and to account for fine-scale social and biophysical drivers underpinning diverse ecosystem service production profiles.",7,2023,universitaet,Wageningen University & Research;Leuphana Universität Lüneburg,1,Resilience Alliance,yes
